Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Byron Scott,Reg,2,19961997,76,163,379,399,52.6,106.8,25.3,0.3,53.1,0.7,106.1,39,83,78,78,82
Grant Long,Reg,3,19962003,349,729,1692,1485,43.9,92.1,-127.3,-0.4,-0.1,0.0,95.2,34,30,33,33,43
Dan Schayes,Reg,7,19961999,117,213,520,426,41.0,85.2,-74.1,-0.6,-25.0,-0.2,87.8,29,14,19,19,21
Sedale Threatt,Reg,9,19961997,20,28,74,64,43.2,87.7,-9.0,-0.4,-3.6,-0.2,90.2,21,18,29,29,26
Chris King,Reg,12,19961999,4,2,7,4,28.6,61.4,-2.5,-0.6,-1.9,-0.5,79.5,0,1,20,20,8
Eric Piatkowski,Reg,15,19962008,608,1745,4012,4243,52.9,110.9,416.8,0.7,729.7,1.2,105.3,51,88,87,87,78
Clyde Drexler,Reg,17,19961998,132,849,1958,1923,49.1,101.2,24.1,0.2,197.9,1.5,96.4,93,63,68,68,47
Greg Anthony,Reg,21,19962002,388,901,2250,2205,49.0,102.3,48.3,0.1,217.4,0.6,99.2,43,65,57,57,58
Rik Smits,Reg,22,19962000,253,1611,3294,3224,48.9,102.2,68.2,0.3,343.3,1.4,114.5,87,66,70,70,92
Dennis Rodman,Reg,23,19962000,162,311,723,631,43.6,90.3,-67.7,-0.4,-4.1,0.0,80.4,31,25,31,31,11
Luc Longley,Reg,26,19962001,246,842,1837,1684,45.8,95.6,-79.2,-0.3,75.5,0.3,97.3,56,43,36,36,52
Doug West,Reg,28,19962001,170,391,903,797,44.1,90.9,-78.9,-0.5,-7.0,0.0,94.4,39,34,37,37,45
Jim McIlvaine,Reg,29,19962001,226,327,731,655,44.8,92.8,-50.7,-0.2,9.8,0.0,88.2,15,33,45,45,23
