Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Byron Scott,Post,2,19961997,8,15,33,34,51.5,106.3,2.0,0.3,4.4,0.6,106.5,15,67,61,61,71
Grant Long,Post,3,19962003,18,45,110,91,41.4,89.9,-10.3,-0.6,-0.9,-0.1,87.8,32,32,25,25,26
Dan Schayes,Post,7,19961999,6,9,24,18,37.5,77.4,-5.2,-0.9,-3.4,-0.6,80.1,17,6,24,24,13
Sedale Threatt,Post,9,19961997,16,22,56,53,47.3,97.6,-1.3,-0.1,2.8,0.2,97.1,9,44,46,46,42
Eric Piatkowski,Post,15,19962008,12,14,38,37,48.7,99.7,0.0,0.0,4.3,0.4,95.4,7,43,46,46,38
Clyde Drexler,Post,17,19961998,21,126,309,295,47.7,98.6,-4.1,-0.2,22.5,1.1,96.4,81,53,60,60,53
Greg Anthony,Post,21,19962002,37,51,153,126,41.2,88.3,-16.9,-0.5,1.8,0.0,82.5,11,29,38,38,21
Rik Smits,Post,22,19962000,51,275,563,550,48.9,103.9,20.8,0.4,92.9,1.8,116.5,64,66,69,69,91
Dennis Rodman,Post,23,19962000,40,69,186,143,38.4,79.6,-36.6,-0.9,-17.0,-0.4,72.9,17,9,21,21,6
Luc Longley,Post,26,19962001,49,131,287,262,45.6,95.0,-13.1,-0.3,19.1,0.4,95.9,25,46,46,46,49
Doug West,Post,28,19962001,3,12,22,24,54.6,112.6,2.7,0.9,4.3,1.4,119.3,33,83,77,77,91
Jim McIlvaine,Post,29,19962001,10,10,27,20,37.0,76.7,-6.0,-0.6,-2.9,-0.3,74.7,2,24,26,26,19
Greg Graham,Post,37,19961998,6,4,14,9,32.1,66.3,-4.6,-0.8,-3.5,-0.6,60.6,1,2,26,26,2
Brad Lohaus,Post,38,19961998,1,0,1,0,0.0,0.0,-1.0,-1.0,-0.8,-0.8,0.0,0,0,19,19,0
Monty Williams,Post,42,19962003,16,30,62,60,48.4,102.9,1.7,0.1,8.2,0.5,88.8,9,59,58,58,34
Chris Whitney,Post,43,19962004,9,10,26,26,50.0,105.0,1.2,0.1,4.1,0.5,102.3,3,62,57,57,56
George McCloud,Post,45,19962002,7,34,71,89,62.7,133.2,22.2,3.2,30.1,4.3,123.3,59,98,99,99,94
Wayman Tisdale,Post,47,19961997,4,6,15,12,40.0,82.5,-2.5,-0.6,-1.4,-0.4,85.1,12,8,33,33,17
Gheorghe Muresan,Post,49,19962000,3,4,9,8,44.4,91.7,-0.7,-0.2,-0.1,0.0,99.7,3,27,41,41,52
Micheal Williams,Post,52,19961999,4,6,15,13,43.3,90.0,-1.4,-0.4,0.5,0.1,102.3,5,27,41,41,65
Mario Elie,Post,53,19962001,45,129,308,296,48.1,101.9,6.4,0.1,35.1,0.8,97.8,30,59,57,57,50
Dickey Simpkins,Post,54,19962002,6,6,16,12,37.5,77.9,-3.4,-0.6,-1.3,-0.2,79.7,1,10,33,33,11
Marty Conlon,Post,55,19962000,3,3,7,6,42.9,89.0,-0.7,-0.2,0.2,0.1,95.2,0,25,43,43,40
Gary Payton,Post,56,19962007,91,485,1148,1060,46.2,96.9,-33.6,-0.4,96.7,1.1,94.3,61,45,40,40,41
Doug Christie,Post,57,19962007,51,175,453,394,43.5,93.9,-25.7,-0.5,19.4,0.4,86.8,47,37,38,38,23
Carl Herrera,Post,61,19961999,3,1,3,2,33.3,69.2,-0.9,-0.3,-0.5,-0.2,88.5,0,2,42,42,20
Sam Perkins,Post,64,19962001,57,101,282,261,46.3,97.9,-6.4,-0.1,26.1,0.5,93.6,17,39,40,40,32
Tom Hammonds,Post,67,19962001,5,12,28,24,42.9,89.0,-3.0,-0.6,0.7,0.1,91.3,24,25,32,32,28
Steve Kerr,Post,70,19962003,65,99,233,248,53.2,111.7,26.4,0.4,49.9,0.8,115.8,8,75,63,63,81
Pooh Richardson,Post,71,19961999,2,2,4,4,50.0,103.2,0.1,0.1,0.4,0.2,93.0,0,60,55,55,35
Kenny Anderson,Post,72,19962005,28,110,262,225,42.9,91.4,-20.8,-0.7,1.5,0.1,91.9,49,28,25,25,29
Hot Rod Williams,Post,73,19961999,8,10,22,20,45.5,93.9,-1.3,-0.2,0.7,0.1,81.4,2,55,48,48,28
Cedric Ceballos,Post,76,19962001,7,13,40,29,36.3,75.3,-9.4,-1.3,-6.2,-0.9,70.8,23,3,12,12,3
Bill Wennington,Post,82,19962000,14,20,38,40,52.6,109.3,3.4,0.2,8.4,0.6,133.1,1,75,61,61,99
Latrell Sprewell,Post,84,19962005,59,420,1007,894,44.4,96.8,-30.1,-0.5,77.5,1.3,102.3,91,47,39,39,62
Brent Price,Post,85,19962002,7,17,39,44,56.4,121.4,7.7,1.1,11.7,1.7,113.4,22,91,83,83,86
Dikembe Mutombo,Post,87,19962009,75,247,468,494,52.8,112.7,56.2,0.8,103.7,1.4,107.8,29,73,71,71,67
Nick Van Exel,Post,89,19962006,62,289,729,666,45.7,95.9,-29.7,-0.5,52.7,0.8,97.0,62,44,47,47,46
Mark Bryant,Post,95,19962003,17,31,66,62,47.0,98.6,-0.9,-0.1,6.2,0.4,98.0,12,46,54,54,50
Detlef Schrempf,Post,96,19962001,39,157,329,335,50.9,106.0,18.9,0.5,55.0,1.4,106.7,41,66,72,72,69
Nick Anderson,Post,98,19962002,14,52,149,126,42.3,91.0,-12.7,-0.9,2.1,0.1,86.7,51,31,24,24,25
Tim Legler,Post,100,19962000,1,0,2,0,0.0,0.0,-1.9,-1.9,-1.8,-1.8,0.0,0,0,4,4,0
Todd Day,Post,103,19962001,9,16,35,37,52.9,112.7,4.2,0.5,9.6,1.1,100.7,5,88,76,76,60
Dan Majerle,Post,105,19962002,37,89,238,234,49.2,103.3,7.9,0.2,32.6,0.9,93.4,26,62,62,62,41
Dale Ellis,Post,107,19962000,10,20,53,51,48.1,99.9,0.0,0.0,6.9,0.7,94.2,19,54,54,54,39
Robert Horry,Post,109,19962008,172,390,935,933,49.9,105.1,45.5,0.3,152.3,0.9,98.8,23,66,61,61,54
LaPhonso Ellis,Post,111,19962003,4,9,23,18,39.1,84.8,-3.2,-0.8,-0.6,-0.1,88.8,20,17,28,28,27
Dontonio Wingfield,Post,112,19961998,1,2,2,4,100.0,206.4,2.1,2.1,2.2,2.2,243.6,0,100,92,92,100
Steven Smith,Post,120,19962005,65,301,714,690,48.3,102.9,20.1,0.3,97.2,1.5,104.1,58,54,52,52,57
Patrick Ewing,Post,121,19962002,42,245,553,490,44.3,93.9,-31.4,-0.7,28.3,0.7,97.7,75,41,41,41,53
Robert Pack,Post,123,19962004,7,7,18,14,38.9,82.2,-3.0,-0.4,-1.0,-0.1,82.5,2,35,44,44,43
Vlade Divac,Post,124,19962005,70,288,638,580,45.5,97.1,-17.0,-0.2,50.4,0.7,94.2,50,46,46,46,40
David Benoit,Post,128,19962001,3,7,19,16,42.1,91.2,-1.5,-0.5,0.7,0.2,86.8,27,29,34,34,21
David Wesley,Post,133,19962007,52,236,594,549,46.2,98.6,-7.8,-0.1,58.0,1.1,95.8,64,47,50,50,45
Kevin Johnson,Post,134,19962000,18,61,167,126,37.7,78.5,-34.5,-1.9,-16.8,-0.9,82.9,46,24,28,28,27
P.J. Brown,Post,136,19962008,98,283,647,566,43.7,92.7,-44.1,-0.5,20.9,0.2,96.2,30,34,35,35,45
Vernon Maxwell,Post,137,19962001,9,21,70,53,37.9,83.1,-10.8,-1.2,-4.5,-0.5,80.0,43,26,16,16,21
Donald Royal,Post,140,19961998,5,3,8,6,37.5,77.9,-1.7,-0.3,-0.7,-0.1,97.3,0,22,44,44,70
Terry Dehere,Post,143,19961999,1,0,1,0,0.0,0.0,-1.0,-1.0,-0.9,-0.9,0.0,0,0,20,20,0
Tracy Murray,Post,145,19962004,5,18,33,41,62.1,128.5,9.2,1.8,11.7,2.3,132.2,32,92,92,92,92
Jud Buechler,Post,146,19962002,27,22,64,55,43.0,90.0,-5.8,-0.2,0.2,0.0,88.0,2,38,43,43,37
Jalen Rose,Post,147,19962007,56,311,712,671,47.1,100.8,5.5,0.1,100.6,1.8,107.1,68,62,62,62,74
Antoine Carr,Post,156,19962000,43,85,184,170,46.2,95.9,-7.1,-0.2,11.6,0.3,102.3,13,42,46,46,61
Derek Harper,Post,157,19961999,7,13,31,27,43.6,95.8,-1.2,-0.2,1.5,0.2,104.7,15,44,48,48,69
Chris Childs,Post,164,19962003,72,180,452,414,45.8,97.7,-9.8,-0.1,38.1,0.5,97.4,27,46,49,49,46
Hakeem Olajuwon,Post,165,19962002,30,221,424,442,52.1,108.7,35.8,1.2,73.4,2.4,115.4,74,68,65,65,77
Ron Harper,Post,166,19962001,67,189,438,414,47.3,99.1,-3.7,-0.1,50.7,0.8,93.8,31,50,49,49,38
Chris Mills,Post,168,19962003,9,15,35,34,48.6,100.9,0.3,0.0,4.9,0.5,104.1,7,55,55,55,67
Joe Kleine,Post,170,19962000,1,1,2,2,50.0,109.9,0.2,0.2,0.4,0.4,138.9,0,78,62,62,98
Keith Askins,Post,173,19961999,14,12,34,31,45.6,94.2,-1.7,-0.1,1.3,0.1,93.7,1,61,52,52,61
Alton Lister,Post,175,19961998,2,1,3,2,33.3,69.2,-0.9,-0.4,-0.5,-0.2,76.8,0,2,36,36,10
Antonio Harvey,Post,176,19962003,1,0,1,0,0.0,0.0,-0.9,-0.9,-0.8,-0.8,0.0,0,0,26,26,0
Muggsy Bogues,Post,177,19962001,5,17,40,43,53.8,112.2,4.9,1.0,9.5,1.9,113.0,40,53,55,55,52
Olden Polynice,Post,178,19962004,15,44,82,88,53.7,115.1,11.5,0.8,23.1,1.5,109.2,20,87,80,80,80
John Crotty,Post,180,19962003,18,15,46,35,38.0,78.8,-9.1,-0.5,-4.8,-0.3,79.2,2,29,37,37,34
Bison Dele,Post,183,19961999,22,74,144,148,51.4,108.3,10.8,0.5,21.9,1.0,107.7,30,63,63,63,56
Bobby Phills,Post,184,19962000,9,25,64,55,43.0,89.3,-6.6,-0.7,1.7,0.2,90.3,37,26,26,26,27
Chris Webber,Post,185,19962008,77,595,1290,1204,46.7,99.8,-2.0,0.0,126.4,1.6,104.0,81,52,51,51,62
Terry Cummings,Post,187,19962000,20,60,126,120,47.6,98.4,-1.9,-0.1,9.3,0.5,101.9,24,49,52,52,60
Duane Causwell,Post,190,19962001,3,1,3,2,33.3,73.3,-0.7,-0.2,-0.5,-0.2,88.8,0,52,48,48,65
Dennis Scott,Post,192,19962000,9,13,40,32,40.0,82.8,-6.7,-0.7,-2.8,-0.3,84.4,16,27,32,32,30
Anthony Mason,Post,193,19962003,25,103,205,206,50.2,105.1,10.1,0.4,35.2,1.4,106.1,42,63,64,64,64
Anthony Bowie,Post,194,19961998,3,2,4,4,50.0,103.9,0.1,0.0,0.7,0.2,102.0,0,60,56,56,62
Scott Burrell,Post,197,19962001,22,34,76,74,48.7,101.4,1.0,0.0,10.8,0.5,93.9,5,53,54,54,32
Danny Ferry,Post,198,19962003,33,45,131,122,46.6,100.3,0.0,0.0,14.3,0.4,91.3,9,51,56,56,32
Chris Dudley,Post,201,19962003,28,26,63,52,41.3,88.9,-6.5,-0.2,-0.7,0.0,77.4,2,34,45,45,13
Gary Grant,Post,202,19962001,5,2,9,5,27.8,57.7,-3.6,-0.7,-2.4,-0.5,59.2,0,6,30,30,8
Nate McMillan,Post,203,19961998,8,6,20,14,35.0,72.7,-5.3,-0.7,-2.8,-0.3,76.0,1,11,32,32,14
Jeff Hornacek,Post,204,19962000,61,256,594,561,47.2,99.4,-4.1,-0.1,59.3,1.0,103.2,56,50,49,49,64
Sam Cassell,Post,208,19962008,82,402,954,872,45.7,97.3,-25.7,-0.3,94.5,1.2,107.2,61,46,46,46,65
